Location	Bait	Start	End	Transition	Weather	Predator, Amount	Tug	Hookset	Gathering	Snagging?	Fish Eyes?	ID	Note
Grey Skipper	Fruit Worm						Light	Precision				3067	
Cerulean Loach	Fruit Worm						Light	Precision				3076	
Blood-eyed Frog	Metal Spinner						Light	Precision				3069	
Golden Lobster	Marble Nymph						Light	Precision				3077	
Gold Hammer	Baitbugs			Clear Skies, Fair Skies	Clear Skies		Heavy	Precision	1900			3305	
Father Collard's Failings												120607	
Grey Skipper	Fruit Worm						Light	Precision				3067	
Pixie Fish	Fruit Worm						Light	Precision				3068	
Official Ball	Marble Nymph						Light	Precision				3066	
Toadhead	Baitbugs				Clear Skies		Light	Precision				3078	
Celestial	Baitbugs	7	17	Thunderstorms	Clear Skies		Heavy	Precision	2150				
North Lyhe Ghiah												120651	
Jenanna's Tear	Small Gig Head											3134	
Shade Axolotl	Normal Gig Head											3136	
Daisy Turban	Small Gig Head											3135	
Little Flirt	Normal Gig Head											3137	
Peallaidh	Large Gig Head											3138	
Voeburt Bichir	Large Gig Head											3139	
Deepwood Swim												120652	
Gilded Batfish	Small Gig Head											3141	
Mirrorfish	Normal Gig Head											3143	
Glass Eel	Large Gig Head											3144	
Poecilia	Small Gig Head											3140	
Petalfish	Normal Gig Head											3142	
Voeburt Salamander	Large Gig Head											3145	
Central Longmirror Lake												120653	
Bedskipper	Small Gig Head											3146	
Dandyfish	Small Gig Head											3147	
Mock Pixie	Normal Gig Head											3149	
Hunter's Arrow	Large Gig Head											3150	
Fuathgobbler	Large Gig Head											3151	
Sauldia Ruby	Normal Gig Head											3148	
Thysm Lran												120654	
Paradise Crab	Small Gig Head											3152	
Saint Fathric's Ire	Small Gig Head											3153	
Queensgown	Normal Gig Head											3154	
Flowering Kelpie	Normal Gig Head											3155	
Ghoulfish	Large Gig Head											3156	
Measan Deala	Large Gig Head											3157	
South Longmirror Lake												120655	
Big-eye	Normal Gig Head											3133	
Dohn Horn	Small Gig Head											3158	
Aquabloom	Small Gig Head											3159	
Jester Fish	Normal Gig Head											3160	
Blue Lightning	Large Gig Head											3161	
Maidenhair	Large Gig Head											3162	
East Longmirror Lake												120691	
Dandyfish	Small Gig Head											3147	
Paradise Crab	Small Gig Head											3152	
Ghoulfish	Large Gig Head											3156	
Blue Lightning	Large Gig Head											3161	
Elder Pixie	Normal Gig Head					Sauldia Ruby, 10						3164	
Blue Mountain Bubble	Normal Gig Head					Sauldia Ruby, 10						3163	
Lake Tusi Mek'ta												120701	
Clawbow	Fruit Worm						Light	Precision				3079	
Yellow Pipira	Fruit Worm						Light	Precision				3083	
Robber Crab	Robber Ball						Light	Precision				3081	
Clown Tetra	Robber Ball						Light	Precision				3087	
Eryops	Clown Tetra						Medium	Powerful				3088	
Priest of Yx'Lokwa	Eryops	10	12				Heavy	Powerful				3185	
Greater Serpent of Ronka	Priest of Yx'Lokwa	10	12				Heavy	Powerful	2250				
The Red Chalice												120702	
Clawbow	Fruit Worm						Light	Precision				3079	
Yellow Pipira	Fruit Worm						Light	Precision				3083	
Oathfish	Marble Nymph						Medium	Powerful				3084	
Darkroot	Robber Ball						Medium	Powerful				3082	
Diamond Pipira	Robber Ball	12	20				Medium	Powerful				3089	
Pearl Pipira	Diamond Pipira	17	20		Fog		Heavy	Powerful	1950			3348	
The Lozatl												120703	
Clawbow	Fruit Worm						Light	Precision				3079	
Yellow Pipira	Fruit Worm						Light	Precision				3083	
Rak'tika Trout	Robber Ball						Light	Precision				3086	
Night's Bass	Robber Ball						Light	Precision				3085	
Black Tri-star	Robber Ball						Light	Precision				3080	
Black Jet	Robber Ball	2	12	Clouds, Fog	Fair Skies		Heavy	Precision				3197	
South Mjrl's Regret												120704	
Clawbow	Fruit Worm						Light	Precision				3079	
Yellow Pipira	Fruit Worm						Light	Precision				3083	
Rak'tika Trout	Robber Ball						Light	Precision				3086	
Night's Bass	Robber Ball						Light	Precision				3085	
Robber Crab	Baitbugs						Light	Precision				3081	
Silver Kitten	Robber Ball						Light	Precision				3090	
Recordkiller	Baitbugs	18	24	Clear Skies, Fair Skies	Fog		Heavy	Precision	1900			3306	
Woven Oath												120705	
Clawbow	Fruit Worm						Light	Precision				3079	
Oathfish	Marble Nymph						Medium	Powerful				3084	
Darkroot	Robber Ball						Medium	Powerful				3082	
Darkdweller	Baitbugs	0	8		Fog		Light	Precision				3091	
Deephaunt	Baitbugs	2	6	Clouds	Fog		Heavy	Precision	2150				
Mjrl's Tears												120706	
Clawbow	Fruit Worm						Light	Precision				3079	
Yellow Pipira	Fruit Worm						Light	Precision				3083	
Golden Pipira	Robber Ball	6	7				Heavy	Powerful	2150				
North Lake Tusi Mek'ta												120751	
Ankle Snipper	Small Gig Head											3165	
Treescale	Small Gig Head											3166	
Ronkan Pleco	Normal Gig Head											3167	
Gourmand Crab	Normal Gig Head											3168	
Gatorl's Bead	Large Gig Head											3169	
Diamondtongue	Large Gig Head											3170	
The Covered Halls of Dwatl												120752	
Everdark Bass	Normal Gig Head											3174	
Hermit's Hood	Small Gig Head											3171	
Megapiranha	Normal Gig Head											3173	
Hermit Crab	Small Gig Head											3172	
Lozatl Pirarucu	Large Gig Head											3175	
Anpa's Handmaid	Large Gig Head											3176	
Central Lake Tusi Mek'ta												120753	
Hermit's Hood	Small Gig Head											3171	
Ronkan Pleco	Normal Gig Head											3167	
South Lake Tusi Mek'ta												120754	
Hermit's Hood	Small Gig Head											3171	
Ronkan Pleco	Normal Gig Head											3167	
Deep Lake Tusi Mek'ta												120791	
Gourmand Crab	Normal Gig Head											3168	
Megapiranha	Normal Gig Head											3173	
Rak'tika Goby	Small Gig Head					Treescale, 10						3178	
Diamondtongue	Large Gig Head											3170	
Anpa's Handmaid	Large Gig Head											3176	
Viis Ear	Small Gig Head					Treescale, 10						3177	
The Flounders' Floor												120801	
Stormfish	Moyebi Shrimp						Medium	Powerful				3094	
Deep Purple Coral	Short Bill Minnow						Light	Precision		1		3092	
Caliban	Moyebi Shrimp						Medium	Powerful				3096	
Bubble Angler	Squid Strip						Light	Precision				3098	
Ondo Harpoon	Squid Strip						Medium	Powerful				3099	
Ondo Sigh	Squid Strip	12	14		Clear Skies, Fair Skies		Heavy	Precision				3198	
Where the Dry Return												120802	
Stormfish	Moyebi Shrimp						Medium	Powerful				3094	
Deep Purple Coral	Squid Strip						Light	Precision		1		3092	
Caliban	Moyebi Shrimp						Medium	Powerful				3096	
Stippled Eel	Short Bill Minnow						Light	Precision				3101	
Ondobane	Squid Strip						Medium	Powerful				3100	
The Ondotaker	Squid Strip	8	10	Clear Skies	Clouds		Heavy	Powerful	1950			3349	
Northwest Caliban Gorge												120803	
Stormfish	Moyebi Shrimp						Medium	Powerful				3094	
Sycorax	Short Bill Minnow						Light	Precision		1		3093	
Caliban	Moyebi Shrimp						Medium	Powerful				3096	
Hoodwinker	Short Bill Minnow				Fair Skies		Medium	Powerful				3097	
Seatrap	Squid Strip						Light	Precision				3102	
Sweetmeat Mussel	Squid Strip						Light	Precision		1		3192	
Mora Tecta	Short Bill Minnow	22	24		Fair Skies		Heavy	Powerful	2150				
Lancetfish	Squid Strip	0	2	Fair Skies	Clouds	Mora Tecta, 2	Heavy	Powerful	2250				
West Caliban Gap												120804	
Stormfish	Moyebi Shrimp						Medium	Powerful				3094	
Sycorax	Moyebi Shrimp						Light	Precision		1		3093	
Ancient Shrimp	Short Bill Minnow						Light	Precision				3103	
Yeti Crab	Ancient Shrimp						Light	Precision				3104	
Aapoak	Ancient Shrimp	12	16		Clear Skies		Heavy	Powerful				3105	
Maru Crab	Ancient Shrimp	16	20		Clouds		Heavy	Precision	2150				
East Caliban Gap												120805	
Stormfish	Moyebi Shrimp						Medium	Powerful				3094	
Sycorax	Moyebi Shrimp						Light	Precision		1		3093	
Hoodwinker	Short Bill Minnow				Fair Skies		Medium	Powerful				3097	
Cyan Sea Devil	Short Bill Minnow						Medium	Powerful				3106	
Pancake Octopus	Squid Strip						Light	Precision				3107	
The Mother of All Pancakes	Squid Strip	0	3	Clouds	Clear Skies		Heavy	Precision	1900			3307	
Purpure												120806	
Stormfish	Moyebi Shrimp						Medium	Powerful				3094	
Sycorax	Moyebi Shrimp						Light	Precision		1		3093	
Maneater Clam	Short Bill Minnow						Light	Precision		1		3108	
Azure Sea Spider	Squid Strip						Light	Precision				3095	
Stargazer	Squid Strip						Light	Precision				3109	
Starchaser	Squid Strip	6	10		Clouds		Heavy	Precision				3186	
The Norvrandt Slope												120807	
Prospero Eel	Moyebi Shrimp						Light	Precision				3006	
Stormfish	Moyebi Shrimp						Medium	Powerful				3094	
Sycorax	Moyebi Shrimp						Light	Precision		1		3093	
Sweetflesh Oyster	Short Bill Minnow						Light	Precision		1		3110	
Azure Sea Spider	Short Bill Minnow						Light	Precision				3095	
Rainbow Shrimp	Short Bill Minnow						Light	Precision				3111	
Predator	Squid Strip						Medium	Powerful				3112	
Opal Shrimp	Squid Strip	18	20		Clear Skies		Heavy	Precision	1900			3308	
# Old Sharlayan - 旧萨雷安													
Scholar's Harbor													
Pecten	Shrimp Ball, Mackerel Strip, Versatile Lure						!	Precision		1			8 - 16 seconds
Northern Herring	Shrimp Ball, Mackerel Strip, Versatile Lure						!	Precision					10 - 26 seconds
Dog-faced Puffer	Shrimp Ball, Mackerel Strip, Versatile Lure						!	Precision					8 - 18 seconds
Cobalt Chromis	Shrimp Ball, Mackerel Strip, Versatile Lure						!!	Powerful					8 - 24 seconds
Guitarfish	Shrimp Ball, Mackerel Strip, Versatile Lure						!!	Powerful					12 - 35 seconds
Oinops													
Astacus	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					8 - 16 seconds
Peacock Bass	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					14 - 24 seconds
Academician	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					10 - 18 seconds
Swordspine Snook	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					18 - 29 seconds
Reflecting Pool													
Astacus	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					8 - 16 seconds
Tidal Dahlia	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					18 - 35 seconds
Ponderer	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					15 - 24 seconds
# Labyrinthos - 迷津													
Unmoved Source Alpha													
Butterfly Fry	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					5 - 16 seconds
Topminnow	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					15 - 25 seconds
Tessera	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					10 - 21 seconds
Giant Aetherlouse	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					14 - 20 seconds
Fat Snook	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					15 - 26 seconds
The Mover Alpha													
Butterfly Fry	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					5 - 16 seconds
Prochilodus Luminosus	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					11 - 20 seconds
Xenocypris	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					7 - 17 seconds
Mesonauta	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					13 - 24 seconds
Greengill Salmon	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					19 - 28 seconds
Unmoved Source Beta													
Butterfly Fry	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					5 - 16 seconds
Raiamas	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					10 - 22 seconds
Xenocypris	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					7 - 17 seconds
Red Bowfin	Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					20+ seconds
The Mover Beta													
Butterfly Fry	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					5 - 16 seconds
Macrobrachium Lar	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					18 - 27 seconds
Xenocypris	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					12 - 20 seconds
Blowgun	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					7 - 17 seconds
Darksteel Knifefish	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					18 - 23 seconds
Deepmoat													
Butterfly Fry	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					5 - 16 seconds
Astacus Aetherius	Leech, Sky Spoon Lure, Mayfly, Versatile Lure, Astacus Aetherius						!!	Powerful					16 - 26 seconds
Xenocypris	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure, Astacus Aetherius						!!	Powerful					7 - 17 seconds
Labyrinthos Tilapia	Astacus Aetherius	8	16		Fair Skies		!!	Powerful					14+ seconds
# Radz-at-Han - 拉札罕													
Meghaduta													
Trunkblessed	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					7 - 16 seconds
Seema Duta	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					18 - 29 seconds
Longear Sunfish	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					8 - 18 seconds
Silver Characin	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					14 - 25 seconds
# Tharvnair - 萨维奈													
Yedlihmad													
Thavnairian Goby	Shrimp Ball, Mackerel Strip, Versatile Lure						!	Precision					7 seconds
Qeyiq Sole	Shrimp Ball, Mackerel Strip, Versatile Lure						!	Precision					12 - 15 seconds
Gwl Crab	Shrimp Ball, Mackerel Strip, Versatile Lure						!!	Powerful					18 seconds
Pantherscale Grouper	Shrimp Ball, Mackerel Strip, Versatile Lure						!!	Powerful					18 - 28 seconds
The Thavnairian Coast													
Thavnairian Goby	Shrimp Ball, Mackerel Strip, Versatile Lure						!	Precision					6 - 12 seconds
Qeyiq Sole	Shrimp Ball, Mackerel Strip, Versatile Lure						!	Precision					8 - 15 seconds
Shadowdart Sardine	Shrimp Ball, Mackerel Strip, Versatile Lure, Shadowdart Sardine						!!	Powerful					11 - 19 seconds
Fate's Design	Shrimp Ball, Mackerel Strip, Versatile Lure, Shadowdart Sardine						!!	Powerful					14 - 24 seconds
Paksa Fish	Shrimp Ball, Mackerel Strip, Versatile Lure, Shadowdart Sardine						!!	Powerful					19 - 27 seconds
The Great Runoff													
Thavnairian Goby	Shrimp Ball, Mackerel Strip, Versatile Lure						!	Precision					8 - 12 seconds
Qeyiq Sole	Shrimp Ball, Mackerel Strip, Versatile Lure						!	Precision					8 - 16 seconds
Garjana Wrasse	Shrimp Ball, Mackerel Strip, Versatile Lure						!!	Powerful					13 - 22 seconds ((Lv. 83 Studium turn-in))
Golden Barramundi	Shrimp Ball, Mackerel Strip, Versatile Lure						!!	Powerful					23 - 32 seconds
Giantsgall Grounds													
Kadjaya's Castaway	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					8 - 15 seconds
Marid Frog	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					9 - 20 seconds
Bluegill	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					18 - 28 seconds
Bronze Pipira	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					15 - 27 seconds
The Wakeful Torana													
Green Swordtail	Gold Salmon Roe, Leech, Sky Spoon Lure, Versatile Lure						!	Precision					8 - 16 seconds
Ksirapayin	Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					10 - 18 seconds
Wakeful Watcher	Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					12 - 20 seconds
Red Drum	Leech, Sky Spoon Lure, Mayfly, Versatile Lure	16	24		Fair Skies		!!	Powerful					18 - 26 seconds
Ksiroda													
Green Swordtail	Gold Salmon Roe, Leech, Sky Spoon Lure, Versatile Lure						!	Precision					10 - 15 seconds
Ksirapayin	Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					12 - 18 seconds
Forgeflame	Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					15 - 24 seconds
Bicuda	Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					18 - 28 seconds
Alnairan Salmon	Leech, Versatile Lure						!!	Powerful					31+ seconds (Lv. 85 quest)
Pavana's Remorse													
Green Swordtail	Gold Salmon Roe, Leech, Sky Spoon Lure, Versatile Lure						!	Precision					8 - 16 seconds
Radzbalik	Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					11 - 23 seconds
Half-moon Betta	Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					10 - 19 seconds
Banana Eel	Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					17 - 26 seconds
The Font of Maya													
Green Swordtail	Gold Salmon Roe, Leech, Sky Spoon Lure, Versatile Lure						!	Precision					8 - 15 seconds
Radzbalik	Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					15 - 20 seconds
Handy Hamsa	Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					18 - 23 seconds
Flowerhorn	Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					20 - 26 seconds
Thavnairian Caiman	Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					22 - 32 seconds
The Perfumed Tides													
Fiery Goby	Shrimp Ball, Mackerel Strip, Versatile Lure						!	Precision					6 - 12 seconds
Puff-paya	Mackerel Strip, Versatile Lure						!	Precision					10 - 22 seconds
Narunnairian Octopus	Shrimp Ball, Mackerel Strip, Versatile Lure, Puff-paya						!!	Powerful					10 - 20 seconds
Roosterfish	Mackerel Strip, Versatile Lure, Puff-paya						!!	Powerful					12- 18 seconds
Basilosaurus	Puff-paya				Fair Skies		!!!	Powerful					20+ seconds
# Garlemald - 加雷马帝国													
The Eblan Thaw													
Garlean Clam	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					8 - 18 seconds (Lv. 85 Studium turn-in)
Animulus	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					7 - 13 seconds
Eblan Trout	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					10 - 15 seconds
Cerule Core	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					14 - 25 seconds
Icepike	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					15 - 25 seconds
The Stainless Course													
Garlean Clam	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					8 - 18 seconds  (Lv. 85 Studium turn-in)
Dark Crown	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					12 - 23 seconds
Eblan Trout	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					8 - 16 seconds
Imperial Pleco	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					15 - 25 seconds
Bluetail	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					16 - 24 seconds
# Mare Lamentorum - 叹息海													
Greatest Endsvale													
Star-blue Guppy	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					8 - 18 seconds
Lunar Cichlid	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					14 - 24 seconds
Teareye	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					12 - 24 seconds
Replipirarucu	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					20 - 30 seconds
The Chlorophospond													
Calicia	Grey Worm, Chimera Worm, Versatile Lure						!	Precision					10 - 24 seconds
Feverfish	Grey Worm, Chimera Worm, Versatile Lure, Calicia						!!	Powerful					7 - 10 seconds
Protomyke #987	Grey Worm, Chimera Worm, Versatile Lure						!!	Powerful					13 - 25 seconds
Lunar Deathworm	Calicia				Fair Skies		!!!	Powerful					21 - 32 seconds
The Frozen Fissure													
Calicia	Grey Worm, Chimera Worm, Versatile Lure						!	Precision					12 - 18 seconds
Feverfish	Grey Worm, Chimera Worm, Versatile Lure, Calicia						!!	Powerful					7 - 10 seconds
Fleeting Brand	Grey Worm, Chimera Worm, Versatile Lure, Calicia						!!	Powerful					12 - 22 seconds
Regotoise	Grey Worm, Chimera Worm, Versatile Lure						!!	Powerful					16 - 20 seconds
Lunar Lamenter	Grey Worm, Versatile Lure						!!	Powerful					26+ seconds
# Elpis													
Rumination's Ramble													
Isle Skipper	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					5 - 10 seconds
Albino Loach	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					12 - 18 seconds
Iribainion	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					10 - 19 seconds
Golden Shiner	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure, Albino Loach						!!	Powerful					20 - 27 seconds
Mangar	Albino Loach				Clouds		!!	Powerful					16 - 22 seconds
The Lower Hungering Gardens													
Isle Skipper	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					5 - 7 seconds
Dermogenys	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					12 - 25 seconds
Iribainion	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					9 - 18 seconds
Colossoma	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					14 - 22 seconds
Lethe													
Isle Skipper	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					6 - 10 seconds
Antheia	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					9 - 22 seconds
Iribainion	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					10 - 21 seconds
Smaragdos	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					10 - 24 seconds (Lv. 88 Studium turn-in)
# Ultima Thule													
Apohelos 18-α													
Superstring	Grey Worm, Chimera Worm, Versatile Lure						!	Precision					10 - 22 seconds
Dragonscale	Grey Worm, Chimera Worm, Versatile Lure						!	Precision					10 - 24 seconds
Star Eater	Grey Worm, Chimera Worm, Versatile Lure						!!	Powerful					10 - 21 seconds
Ypupîara	Grey Worm, Chimera Worm, Versatile Lure						!!	Powerful					13 - 24 seconds
Eehs Forhnesh	Grey Worm, Chimera Worm, Versatile Lure						!!	Powerful					15 - 30 seconds
Apohelos 18-β													
Superstring	Grey Worm, Chimera Worm, Versatile Lure						!	Precision					10 - 22 seconds
Glassfish	Grey Worm, Chimera Worm, Versatile Lure						!	Precision					13 - 25 seconds
Star Eater	Grey Worm, Chimera Worm, Versatile Lure						!!	Powerful					10 - 21 seconds
Foun Myhk	Grey Worm, Chimera Worm, Versatile Lure						!!	Powerful					13 - 25 seconds
Apohelos 18-γ													
Superstring	Grey Worm, Chimera Worm, Versatile Lure						!	Precision					10 - 22 seconds
Vacuum Shrimp	Grey Worm, Chimera Worm, Versatile Lure						!!	Powerful					17 - 28 seconds
Star Eater	Grey Worm, Chimera Worm, Versatile Lure						!!	Powerful					10 - 21 seconds
Cosmic Noise	Grey Worm, Chimera Worm, Versatile Lure						!!	Powerful					19 - 31 seconds
The Wellspring of Regret 													
Protoflesh	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					10 - 22 seconds
Katoptron	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					10 - 23 seconds
Comet Tail	Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					16 - 27 seconds
Aoide	Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					17 - 28 seconds
Elegeia													
Protoflesh	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!	Precision					10 - 22 seconds
Katoptron	Gold Salmon Roe, Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					10 - 23 seconds
Wandering Starscale	Leech, Sky Spoon Lure, Mayfly, Versatile Lure						!!	Powerful					20 - 30 seconds
Limne 18													
Wormhole Worm	Panic Jig, Stardust, Versatile Lure						!	Precision					8 - 18 seconds
Unidentified Flying Biomass II	Panic Jig, Stardust, Versatile Lure						!	Precision					8 - 19 seconds
Sophos Deka-okto	Panic Jig, Stardust, Versatile Lure						!	Precision					10 - 22 seconds
Class Twenty-four	Panic Jig, Stardust, Versatile Lure						!!	Powerful					18 - 33 seconds
Terrifyingway	Panic Jig, Stardust, Versatile Lure						!!	Powerful					15 - 25 seconds
Alien Mertone	Panic Jig, Versatile Lure						!!	Powerful					16 - 24 seconds
Monster Carrot	Stardust, Versatile Lure						!!	Powerful					24 - 36 seconds
Timeworn Kumbhiraskin Map	Panic Jig						!	Precision		1			20 seconds
Limne 3-α													
Wormhole Worm	Panic Jig, Stardust, Versatile Lure						!	Precision					8 - 18 seconds
Unidentified Flying Biomass II	Panic Jig, Stardust, Versatile Lure						!	Precision					8 - 19 seconds
Triaina	Panic Jig, Stardust, Versatile Lure						!!	Powerful					7 - 15 seconds
Argonaut	Panic Jig, Stardust, Versatile Lure						!	Precision					15 - 24 seconds
Echinos	Panic Jig, Stardust, Versatile Lure						!!	Powerful					17 - 28 seconds
Space Bishop	Panic Jig, Versatile Lure						!!	Powerful					23 - 37 seconds
Alyketos	Stardust, Versatile Lure						!!	Powerful					22 - 30 seconds
Limne 3-β 													
Wormhole Worm	Panic Jig, Stardust, Versatile Lure						!	Precision					8 - 18 seconds
Unidentified Flying Biomass II	Panic Jig, Stardust, Versatile Lure						!	Precision					8 - 19 seconds
Horizon Event	Panic Jig, Stardust, Versatile Lure						!!	Powerful					8 - 18 seconds
Triaina	Panic Jig, Stardust, Versatile Lure, Horizon Event						!!	Powerful					7 - 15 seconds (up to 16 seconds when from a Mooch)
E.B.E.-9318	Panic Jig, Stardust, Versatile Lure						!!	Powerful					11 - 24 seconds
Unbegotten	Horizon Event						!!	Powerful					17 - 31 seconds
Phallaina	Horizon Event	22	4				!!!	Powerful					25 - 38 seconds
